country,latitude,longitude,temp_mean,temp_std,temp_min,temp_max,country_encoded
Maldives,6.859328028933092,73.10305605786618,27.935623869801084,0.7798738863172876,24.6,29.8,101
Mali,12.65,-8.0,26.66384892086331,3.7979708577862272,16.0,36.1,102
Malta,35.8997582733813,14.513787050359712,23.207374100719424,6.088094979516689,10.3,36.3,103
Marshall Islands,7.1,171.38265899280574,28.10152877697842,0.8857543235530466,24.3,30.1,104
Mauritania,18.08709928057554,-15.976212949640288,24.287410071942446,3.4389690133499697,15.9,36.3,105
Mauritius,-20.1615309352518,57.49911366906475,26.554316546762593,2.8845408522755327,20.1,33.2,106
Mexico,19.44326811594203,-99.14771521739131,14.179891304347827,2.624105341785678,4.3,27.4,107
Micronesia,6.917316878402903,158.15,27.97504537205082,1.3609952066348656,24.1,32.1,108
Monaco,43.732668592057756,7.417331407942237,19.060649819494586,6.57763515302163,5.1,33.3,109
Mongolia,47.91733254972875,106.91733254972877,5.388426763110307,15.727896033596801,-24.9,34.3,110
Montenegro,42.44088792792793,19.262905945945946,20.24900900900901,9.609568313290074,0.2,40.2,111
Morocco,34.021881801801804,-6.838941981981982,20.02558558558559,5.055653568515746,5.0,40.3,112
Mozambique,-25.966212949640287,32.589355395683455,25.89748201438849,3.9376758304387978,14.4,37.3,113
Myanmar,16.782658992805757,96.16734100719425,30.497841726618702,3.130920312005656,20.0,38.4,114
Namibia,-22.571372252252253,17.081775855855856,23.22108108108108,5.356938776295728,5.0,35.1,115
Nepal,27.717336216216218,85.31733621621622,23.260540540540543,4.456598935906121,9.9,32.4,116
Netherlands,52.37322882882883,4.889757837837839,13.554234234234235,6.619432821901248,-0.8,29.7,117
New Zealand,-41.3,174.78265199999998,13.519727272727273,3.3135776479426573,5.1,21.3,118
Nicaragua,12.150644646098005,-86.26863012704173,23.91197822141561,1.548689148772221,19.4,27.4,119
Niger,13.55139027027027,2.0416454054054056,29.38864864864865,3.9900730806093976,20.0,41.0,120
Nigeria,9.17661582733813,7.180644604316547,27.636690647482013,3.406107791851899,19.0,35.5,121
North Korea,39.019514801444046,125.75380072202165,15.06913357400722,11.159133511647285,-11.5,35.3,122
North Macedonia,42.0,21.432666304347826,18.493840579710145,11.135585692174038,-4.0,41.4,123
Norway,59.91733621621621,10.75,8.933873873873875,7.54198634782019,-11.8,26.2,124
Oman,23.612658992805756,58.59265899280576,31.935611510791368,4.808872223069902,21.0,46.0,125
Pakistan,33.7,73.16733621621623,28.973513513513513,6.617709618382227,13.9,45.0,126
Palau,7.349604332129964,134.53326245487364,28.16335740072202,1.5358207277668956,24.2,31.4,127
Panama,8.967345652173913,-79.53265434782608,25.368297101449276,0.9906231876729331,22.6,27.4,128
Papua New Guinea,-9.463800722021661,147.19202166064983,26.73149819494585,1.5577971977763911,21.3,31.3,129
Paraguay,-22.594178918918917,-60.67366396396397,20.427567567567568,5.445023597628356,5.5,32.6,130
Peru,-12.05,-77.05,17.168058076225044,2.1399565935026694,13.7,23.6,131
Philippines,14.603390270270271,120.98177585585587,29.923783783783787,2.420589350788713,23.5,36.4,132
Poland,52.24796762589928,20.993758992805756,13.350179856115108,9.278650296187736,-7.9,35.2,133
Portugal,38.71733140794224,-9.132668592057762,17.81534296028881,5.541071306193508,6.0,34.1,134
Qatar,25.28734216216216,51.53265783783783,33.61009009009009,7.283892953789624,15.2,46.3,135
Romania,44.43266378378379,26.1,17.474774774774776,10.93775025267885,-3.7,40.2,136
Russia,55.737354316546764,37.90987769784173,11.188758992805756,10.63419287472095,-15.25,32.2,137
Rwanda,-1.9529059459459461,30.060484324324324,24.32864864864865,2.884395489565939,16.3,31.6,138
Saint Kitts and Nevis,17.3,-62.71734332129964,26.832490974729243,1.7013318697483693,22.1,31.4,139
Saint Lucia,14.0,-61.0,27.100180505415164,1.3965923278134917,22.3,31.2,140
Saint Vincent and the Grenadines,13.13265667870036,-61.21734332129964,27.37815884476534,1.2454370403104777,24.1,31.2,141
Samoa,-13.832656985294118,-171.73265698529414,25.668198529411764,1.239003070522405,19.4,29.2,142
San Marino,43.93267341772152,12.45,18.10271247739602,8.036383065413515,-1.9,33.1,143
Saudi Arabia,24.640644324324324,46.77225513513513,32.3554954954955,9.486449650171158,9.1,46.3,144
Senegal,14.670644604316546,-17.4384690647482,25.342086330935253,3.1527466017547123,18.1,32.3,145
Serbia,44.80322882882883,20.466044684684686,16.962882882882884,10.59085800407276,-2.8,40.7,146
Seychelles,-4.617336216216216,55.45,28.740000000000002,1.6239587055268072,23.1,33.4,147
Sierra Leone,8.49,-13.23339493670886,25.956600361663654,1.6396239454189383,20.1,30.2,148
Singapore,1.2925023423423423,103.85660972972974,29.7372972972973,2.1216002517112558,23.1,35.2,149
Slovakia,48.15,17.117336216216216,14.720360360360361,9.619915782027379,-3.8,35.2,150
Slovenia,46.05621294964029,14.513545323741008,14.646762589928057,9.747750414784958,-5.7,34.1,151
Solomon Islands,-9.432678260869565,159.95,26.941032608695654,1.621980993650149,23.4,32.3,152
Somalia,2.067336216216216,45.36733621621622,28.820360360360358,1.3502506305174844,24.1,33.3,153
South Africa,-25.74750215827338,28.18838848920863,21.30971223021583,5.225096672058285,8.1,34.2,154
South Korea,37.56709405405405,126.99975783783785,17.474054054054054,10.975325655586278,-10.9,36.4,155
Spain,40.4,-3.682663783783784,17.076216216216213,9.268747812846579,-2.6,38.7,156
